Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LucySuite,Firefox 104.0,,,2022-10-26 23:03:02,2022-10-26 23:04:43,1m - 40.954s,FAILED
,,,,,,,
Test Cases/TC1_Verify UI of button Tìm Kiếm,Firefox 104.0,,,2022-10-26 23:03:16,2022-10-26 23:03:16,0.098s,FAILED
openBrowser(TIKI_RAW_URL),Firefox 104.0,,,2022-10-26 23:03:16,2022-10-26 23:03:16,0.083s,FAILED
,,,,,,,
Test Cases/TC2 - Verify options list on the category page displays correctly,Firefox 104.0,,,2022-10-26 23:03:31,2022-10-26 23:03:40,8.421s,PASSED
openBrowser(TIKI_CATEGORY_DEVIDE_URL),Firefox 104.0,,,2022-10-26 23:03:31,2022-10-26 23:03:37,6.202s,PASSED
waitForPageLoad(10),Firefox 104.0,,,2022-10-26 23:03:37,2022-10-26 23:03:37,0.032s,PASSED
"expectList = [""Thiết Bị Âm Thanh và Phụ Kiện"", ""Thiết Bị Chơi Game và Phụ Kiện"", ""Thiết Bị Đeo Thông Minh và Phụ Kiện"", ""Thiết Bị Thông Minh và Linh Kiện Điện Tử"", ""Phụ Kiện Điện Thoại và Máy Tính Bảng"", ""Phụ kiện máy tính và Laptop""]",Firefox 104.0,,,2022-10-26 23:03:37,2022-10-26 23:03:37,0.001s,PASSED
"actualList = FinalKeywords.getTextFromList(findTestObject(""Tiki_Devide_Category/list_category""))",Firefox 104.0,,,2022-10-26 23:03:37,2022-10-26 23:03:40,2.145s,PASSED
"kms.turing.katalon.plugins.assertj.ListAssert.equalsWithOrder(actualList, expectList, ""contains"")",Firefox 104.0,,,2022-10-26 23:03:40,2022-10-26 23:03:40,0.033s,PASSED
,,,,,,,
Test Cases/TC3 - Verify search result products should contain searched keyword,Firefox 104.0,,,2022-10-26 23:03:40,2022-10-26 23:04:00,20.802s,PASSED
openBrowser(AMAZON_RAW_URL),Firefox 104.0,,,2022-10-26 23:03:40,2022-10-26 23:03:49,9.394s,PASSED
"sendKeys(findTestObject(""Amazon_Search_Block/tbx_search_box""), keyword)",Firefox 104.0,,,2022-10-26 23:03:49,2022-10-26 23:03:51,1.398s,PASSED
"click(findTestObject(""Amazon_Search_Block/btn_search""))",Firefox 104.0,,,2022-10-26 23:03:51,2022-10-26 23:03:57,5.805s,PASSED
"waitForElementPresent(findTestObject(""Amazon_Result_Page/title_result_page""), 10)",Firefox 104.0,,,2022-10-26 23:03:57,2022-10-26 23:03:58,1.508s,PASSED
"titleResult = FinalKeywords.getTextFromList(findTestObject(""Amazon_Result_Page/txt_result_list_title""))",Firefox 104.0,,,2022-10-26 23:03:58,2022-10-26 23:04:00,2.030s,PASSED
println(titleResult),Firefox 104.0,,,2022-10-26 23:04:00,2022-10-26 23:04:00,0.006s,PASSED
"for ([i = 0, i < 5, (i++)])",Firefox 104.0,,,2022-10-26 23:04:00,2022-10-26 23:04:00,0.182s,PASSED
,,,,,,,
Test Cases/TC4_Verify page search title display correctly following keyword,Firefox 104.0,,,2022-10-26 23:04:43,2022-10-26 23:04:43,0.090s,FAILED
openBrowser(TIKI_RAW_URL),Firefox 104.0,,,2022-10-26 23:04:43,2022-10-26 23:04:43,0.072s,FAILED
